Cava,Puntuació,id,Municipi,id_cava,Comarca,Província,Població
Canals Domingo San Sadurní de Noya,529.27,2067,Sant Sadurní d'Anoia,63,Alt Penedès,Barcelona,12841
Parés Baltà,528.43,23117,Pacs del Penedès,274,Alt Penedès,Barcelona,918
Gran Amat,525.46,11974,Garriguella,394,Alt Empordà,Girona,853
Castelo de Pedregosa,523.55,169337,Sant Sadurní d'Anoia,79,Alt Penedès,Barcelona,12841
Coop. L'Arboç del Penedès,521.84,42792,Vilafranca del Penedès,420,Alt Penedès,Barcelona,40154
J. Raventós Roig,517.87,59146,Sant Sadurní d'Anoia,509,Alt Penedès,Barcelona,12841
Cava,517.8,1105,-,3291,,,
Vinya Silvia,515.92,31942,Montmeló,378,Vallès Oriental,Barcelona,8831
Signat,514.42,116931,Alella,341,Maresme,Barcelona,9904
Alta Alella,514.2,108546,Tiana,557,Maresme,Barcelona,8945
Pinord,514.06,112,Vilafranca del Penedès,288,Alt Penedès,Barcelona,40154
Masia el Pujolet,513.33,82386,El Pla del Penedès,3268,Alt Penedès,Barcelona,1275
Sogas Mascaró,513.12,25817,Vilafranca del Penedès,390,Alt Penedès,Barcelona,40154
Martí Serdà,512.36,1014,Santa Fe del Penedès,217,Alt Penedès,Barcelona,367
Mont Ferrant - Parxet,511.91,115513,Tiana,6478,Maresme,Barcelona,8945
Emendis,511.65,24513,Barcelona,3389,Barcelonès,Barcelona,1664182
Marquès de Gelida,510.26,8278,Sant Sadurní d'Anoia,210,Alt Penedès,Barcelona,12841
Carles Andreu,509.97,70647,Pira,66,Conca de Barberà,Tarragona,503
Loxarel,508.84,20685,Vilobí del Penedès,412,Alt Penedès,Barcelona,1102
Puig Munts,502.54,274,Martorell,299,Baix Llobregat,Barcelona,28772
Jané Baqués,502.48,92250,El Pla del Penedès,166,Alt Penedès,Barcelona,1275
Canals Casanovas,500.96,147158,Subirats,60,Alt Penedès,Barcelona,3104
Montesquius,498.68,614,Sant Sadurní d'Anoia,251,Alt Penedès,Barcelona,12841
Llàgrima d'Or,496.76,20720,Sant Sadurní d'Anoia,440,Alt Penedès,Barcelona,12841
Mont Bató,495.71,378,Les Masies de Voltregà,401,Osona,Barcelona,3132
Grimau de Pujades,493.19,1037,Castellví de la Marca,153,Alt Penedès,Barcelona,1575
Massana & Noya,492.21,223,Subirats,237,Alt Penedès,Barcelona,3104
Arestel,490.17,67627,Neckarsulm,4965,,Baden-Württemberg,26523
Duc de Foix,488.64,605,Vilafranca del Penedès,432,Alt Penedès,Barcelona,40154
Mas Codina,485.46,1124,Puigdàlber,220,Alt Penedès,Barcelona,524
Rusinés,484.13,21268,Sant Sadurní d'Anoia,332,Alt Penedès,Barcelona,12841
