Cava,Puntuació,id,Municipi,id_cava
Celler Trobat,466.67,17797,Garriguella,84
Moët & ChandonFrança (champagne),463.69,16669,,650
Josep Masachs,463.23,1311,Vilafranca del Penedès,436
Cripta,462.8,190635,Sant Sadurní d'Anoia,458
Forns Raventós,460.94,8704,Santa Fe del Penedès,135
Mistinguett,459.14,133574,Vilobí del Penedès,7570
Mas Oliver,459.07,562,Sant Sadurní d'Anoia,226
Planas Albareda,458.77,47355,Vilobí del Penedès,290
Les Tres Naus,458.07,54335,SANT JAUME DELS DOMENYS,198
Estalella,457.52,119243,Vilanova del Camí,6409
Huguet de Can Feixes,456.32,415,Cabrera d'Anoia,161
Bohigas,456.21,568,Òdena,46
Artium,455.76,85,Artés,15
Desotaterra,453.88,47515,Sant Sadurní d'Anoia,461
Castell Sant Antoni,452.48,15,Sant Sadurní d'Anoia,73
Blancher,452.25,1301,Sant Sadurní d'Anoia,39
Xic d'Alfons,451.82,54586,El Pla del Penedès,4071
Juve Masana,450.42,200296,VILAMALLA,8296
Pere Camps,450.4,74213,GRANOLLERS,484
Mont Michel,447.55,963,Sant Sadurní d'Anoia,459
Joan Sardà,447.4,172340,Castellví de la Marca,5116
Berenguer,444.06,46573,La Granada,442
Canals Nadal,443.72,27705,El Pla del Penedès,62
Jaume Llopart,441.42,31058,Font-rubí,170
Grivà,440.42,687,Cabrera de Mar,154
Torre Oria - E,438.98,17963,Requena,350
Alba Arnau,438.14,50278,El Pla del Penedès,4515
Maria Rigol Ordi,437.71,111614,Sant Sadurní d'Anoia,207
Vinícola de Nulles,437.66,99664,Nulles,387
Roser Romeu Torné,437.47,78641,Calella,4102
Santacana Roig,435.71,634,Sant Sadurní d'Anoia,422
Olivella Ferrari,434.38,4734,Peralada,264
Dibón,433.38,86753,Vilafranca del Penedès,4330
Can Ràfols dels Caus,430.03,324,Avinyonet del Penedès,57
Parellada i Faura,428.62,2357,Subirats,518
Torrents Carbó,428.56,2379,Vilanova i la Geltrú,353
Berdié Romagosa,427.89,51972,Castellví de la Marca,34
Castell del Remei,426.98,9849,Castell del Remei,3377
D'Oriell,426.83,12454,-,3252
Juan Miró,426.36,4499,Sant Sadurní d'Anoia,414
Pere Rius,425.83,1322,Castellví de la Marca,286
Maria Casanovas Glaç,425.66,71975,Sant Sadurní d'Anoia,205
Mumm & CieFrança (champagne),425.45,21055,,674
Simó de Palau,424.84,16651,L'Espluga de Francolí,342
Muguet,423.53,115452,BARCELONA,257
Rosell Mir,423.36,161471,Subirats,324
Duran,423.3,79933,Castellví de Rosanes,517
U més U fan TRES,422.05,191981,Font-Rubí,2686
Vilamajó,422.01,31081,Sant Sadurní d'Anoia,374
